Vendor,GRAPHTEC Corporation
Model,"GL840"
Version,"Ver1.23"
MaxChannel,20
GSStartCH,20
WLStartCH,20
WLUnit,OFF,OFF,OFF,OFF,OFF
MaxLogicChannel,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1s
Total Data Points,2403               
Trigger,0                  
Start time,2023-02-14,10:45:45
End time,2023-02-14,11:25:50
Trigger time,2023-02-14,10:45:47
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH16," CH16",M,DC,1-5V,,Off,+5.000,+1.000, V,5,23,30,1
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH16,Alarm1-10,Alarm11-20,AlarmOut
86,2023-02-14 10:47:12,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
87,2023-02-14 10:47:13,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
88,2023-02-14 10:47:14,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
89,2023-02-14 10:47:15,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
90,2023-02-14 10:47:16,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
91,2023-02-14 10:47:17,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
92,2023-02-14 10:47:18,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
93,2023-02-14 10:47:19,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
94,2023-02-14 10:47:20,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
95,2023-02-14 10:47:21,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
96,2023-02-14 10:47:22,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
97,2023-02-14 10:47:23,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
98,2023-02-14 10:47:24,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
99,2023-02-14 10:47:25,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
100,2023-02-14 10:47:26,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
101,2023-02-14 10:47:27,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
102,2023-02-14 10:47:28,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
103,2023-02-14 10:47:29,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
104,2023-02-14 10:47:30,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
105,2023-02-14 10:47:31,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
106,2023-02-14 10:47:32,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
107,2023-02-14 10:47:33,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
108,2023-02-14 10:47:34,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
109,2023-02-14 10:47:35,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
110,2023-02-14 10:47:36,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
111,2023-02-14 10:47:37,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
112,2023-02-14 10:47:38,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
113,2023-02-14 10:47:39,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
114,2023-02-14 10:47:40,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
115,2023-02-14 10:47:41,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
116,2023-02-14 10:47:42,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
117,2023-02-14 10:47:43,0,+3.023,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
118,2023-02-14 10:47:44,0,+3.061,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
119,2023-02-14 10:47:45,0,+3.054,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
120,2023-02-14 10:47:46,0,+3.054,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
121,2023-02-14 10:47:47,0,+3.054,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
122,2023-02-14 10:47:48,0,+3.054,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
123,2023-02-14 10:47:49,0,+3.060,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
124,2023-02-14 10:47:50,0,+3.066,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
125,2023-02-14 10:47:51,0,+3.066,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
126,2023-02-14 10:47:52,0,+3.066,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
127,2023-02-14 10:47:53,0,+3.066,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
128,2023-02-14 10:47:54,0,+3.066,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
129,2023-02-14 10:47:55,0,+3.072,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
130,2023-02-14 10:47:56,0,+3.079,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
131,2023-02-14 10:47:57,0,+3.079,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
132,2023-02-14 10:47:58,0,+3.084,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
133,2023-02-14 10:47:59,0,+3.090,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
134,2023-02-14 10:48:00,0,+3.097,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
135,2023-02-14 10:48:01,0,+3.097,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
136,2023-02-14 10:48:02,0,+3.099,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
137,2023-02-14 10:48:03,0,+3.103,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
138,2023-02-14 10:48:04,0,+3.112,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
139,2023-02-14 10:48:05,0,+3.116,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
140,2023-02-14 10:48:06,0,+3.116,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
141,2023-02-14 10:48:07,0,+3.116,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
142,2023-02-14 10:48:08,0,+3.112,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
143,2023-02-14 10:48:09,0,+3.103,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
144,2023-02-14 10:48:10,0,+3.052,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
145,2023-02-14 10:48:11,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
146,2023-02-14 10:48:12,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
147,2023-02-14 10:48:13,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
148,2023-02-14 10:48:14,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
149,2023-02-14 10:48:15,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
150,2023-02-14 10:48:16,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
151,2023-02-14 10:48:17,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
152,2023-02-14 10:48:18,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
153,2023-02-14 10:48:19,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
154,2023-02-14 10:48:20,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
155,2023-02-14 10:48:21,0,+3.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
156,2023-02-14 10:48:22,0,+3.027,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
157,2023-02-14 10:48:23,0,+3.038,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
158,2023-02-14 10:48:24,0,+3.047,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
159,2023-02-14 10:48:25,0,+3.047,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
160,2023-02-14 10:48:26,0,+3.054,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
161,2023-02-14 10:48:27,0,+3.069,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
162,2023-02-14 10:48:28,0,+3.088,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
163,2023-02-14 10:48:29,0,+3.114,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
164,2023-02-14 10:48:30,0,+3.123,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
165,2023-02-14 10:48:31,0,+3.123,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
166,2023-02-14 10:48:32,0,+3.124,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
167,2023-02-14 10:48:33,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
168,2023-02-14 10:48:34,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
169,2023-02-14 10:48:35,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
170,2023-02-14 10:48:36,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
171,2023-02-14 10:48:37,0,+3.129,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
172,2023-02-14 10:48:38,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
173,2023-02-14 10:48:39,0,+3.126,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
174,2023-02-14 10:48:40,0,+3.025,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
175,2023-02-14 10:48:41,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
176,2023-02-14 10:48:42,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
177,2023-02-14 10:48:43,0,+3.015,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
178,2023-02-14 10:48:44,0,+3.023,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
179,2023-02-14 10:48:45,0,+3.030,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
180,2023-02-14 10:48:46,0,+3.030,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
181,2023-02-14 10:48:47,0,+3.030,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
182,2023-02-14 10:48:48,0,+3.030,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
183,2023-02-14 10:48:49,0,+3.030,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
184,2023-02-14 10:48:50,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
185,2023-02-14 10:48:51,0,+3.079,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
186,2023-02-14 10:48:52,0,+3.107,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
187,2023-02-14 10:48:53,0,+3.122,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
188,2023-02-14 10:48:54,0,+3.128,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
189,2023-02-14 10:48:55,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
190,2023-02-14 10:48:56,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
191,2023-02-14 10:48:57,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
192,2023-02-14 10:48:58,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
193,2023-02-14 10:48:59,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
194,2023-02-14 10:49:00,0,+3.141,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
195,2023-02-14 10:49:01,0,+3.139,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
196,2023-02-14 10:49:02,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
197,2023-02-14 10:49:03,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
198,2023-02-14 10:49:04,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
199,2023-02-14 10:49:05,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
200,2023-02-14 10:49:06,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
201,2023-02-14 10:49:07,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
202,2023-02-14 10:49:08,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
203,2023-02-14 10:49:09,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
204,2023-02-14 10:49:10,0,+3.141,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
205,2023-02-14 10:49:11,0,+3.136,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
206,2023-02-14 10:49:12,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
207,2023-02-14 10:49:13,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
208,2023-02-14 10:49:14,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
209,2023-02-14 10:49:15,0,+3.135,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
210,2023-02-14 10:49:16,0,+3.141,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
211,2023-02-14 10:49:17,0,+3.115,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
212,2023-02-14 10:49:18,0,+3.025,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
213,2023-02-14 10:49:19,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
214,2023-02-14 10:49:20,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
215,2023-02-14 10:49:21,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
216,2023-02-14 10:49:22,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
217,2023-02-14 10:49:23,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
218,2023-02-14 10:49:24,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
219,2023-02-14 10:49:25,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
220,2023-02-14 10:49:26,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
221,2023-02-14 10:49:27,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
222,2023-02-14 10:49:28,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
223,2023-02-14 10:49:29,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
224,2023-02-14 10:49:30,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
225,2023-02-14 10:49:31,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
226,2023-02-14 10:49:32,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
227,2023-02-14 10:49:33,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
228,2023-02-14 10:49:34,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
229,2023-02-14 10:49:35,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
230,2023-02-14 10:49:36,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
231,2023-02-14 10:49:37,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
232,2023-02-14 10:49:38,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
233,2023-02-14 10:49:39,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
234,2023-02-14 10:49:40,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
