"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/14/2023 10:59'42"	"44971.4581250000"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 10:59'52"	"44971.4582407407"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 11:00'02"	"44971.4583564815"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 11:00'12"	"44971.4584722222"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 11:00'22"	"44971.4585879630"	"  25.4000"	"  20.0000"	"  1007.2000"	""	""	""	""	""	
"02/14/2023 11:00'32"	"44971.4587037037"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:00'42"	"44971.4588194444"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:00'52"	"44971.4589351852"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'02"	"44971.4590509259"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'12"	"44971.4591666667"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'22"	"44971.4592824074"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'32"	"44971.4593981481"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'42"	"44971.4595138889"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:01'52"	"44971.4596296296"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:02'02"	"44971.4597453704"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:02'12"	"44971.4598611111"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:02'22"	"44971.4599768519"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:02'32"	"44971.4600925926"	"  25.4000"	"  20.0000"	"  1007.0000"	""	""	""	""	""	
"02/14/2023 11:02'42"	"44971.4602083333"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:02'52"	"44971.4603240741"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'02"	"44971.4604398148"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'12"	"44971.4605555556"	"  25.4000"	"  20.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'22"	"44971.4606712963"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'32"	"44971.4607870370"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'42"	"44971.4609027778"	"  25.4000"	"  21.0000"	"  1007.1000"	""	""	""	""	""	
"02/14/2023 11:03'52"	"44971.4610185185"	"  25.4000"	"  21.0000"	"  1007.0000"	""	""	""	""	""	
